date,aircraft_id,unit_id,base,airframe_age_years,role,status_start,flight_hours,mission_intensity,environment_stress,flight_hours_sum_7d,mission_intensity_mean_7d,environment_stress_mean_7d,flight_hours_sum_14d,mission_intensity_mean_14d,environment_stress_mean_14d,flight_hours_sum_30d,mission_intensity_mean_30d,environment_stress_mean_30d,failures_count_sum_7d,failures_count_sum_14d,failures_count_sum_30d,down_events_sum_7d,down_events_sum_14d,down_events_sum_30d,repair_hours_sum_7d,repair_hours_sum_14d,repair_hours_sum_30d,wait_parts_hours_sum_7d,wait_parts_hours_sum_14d,wait_parts_hours_sum_30d,wait_maint_hours_sum_7d,wait_maint_hours_sum_14d,wait_maint_hours_sum_30d,down_hours_sum_7d,down_hours_sum_14d,down_hours_sum_30d,downtime_next_14d_hours,downtime_next_30d_hours,stockouts_today,eta_days_sum_today,eta_days_mean_today,stockouts_sum_7d,eta_days_sum_7d,eta_days_mean_7d,stockouts_sum_14d,eta_days_sum_14d,eta_days_mean_14d,stockouts_sum_30d,eta_days_sum_30d,eta_days_mean_30d,base_stockout_rate,base_mean_eta
2026-01-08,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.48,0.152,0.303,0.48,0.152,0.303,0.48,0.152,0.303,0.48,0.152,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,12.12
2026-01-09,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.06,0.42,0.647,1.54,0.286,0.475,1.54,0.286,0.475,1.54,0.286,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,13.305
2026-01-10,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.7,0.533,0.56,2.24,0.3683333333333333,0.5033333333333333,2.24,0.3683333333333333,0.5033333333333333,2.24,0.3683333333333333,0.5033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,12.505
2026-01-11,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.07,0.581,0.463,3.31,0.4215,0.49325,3.31,0.4215,0.49325,3.31,0.4215,0.49325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,12.4
2026-01-12,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.64,0.369,0.482,3.95,0.411,0.491,3.95,0.411,0.491,3.95,0.411,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,12.36
2026-01-13,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.76,0.168,0.442,4.71,0.3705,0.4828333333333334,4.71,0.3705,0.4828333333333334,4.71,0.3705,0.4828333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.005
2026-01-14,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.23,0.543,0.738,5.94,0.3951428571428571,0.5192857142857142,5.94,0.3951428571428571,0.5192857142857142,5.94,0.3951428571428571,0.5192857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,12.33
2026-01-15,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.41,0.226,0.663,6.869999999999999,0.4057142857142857,0.5707142857142857,7.35,0.374,0.53725,7.35,0.374,0.53725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,11.36
2026-01-16,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.14,0.718,0.387,6.949999999999999,0.4482857142857143,0.5335714285714286,8.49,0.4122222222222222,0.5205555555555557,8.49,0.4122222222222222,0.5205555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.12
2026-01-17,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.4,0.317,0.351,6.65,0.4174285714285714,0.5037142857142857,8.89,0.4027,0.5035999999999999,8.89,0.4027,0.5035999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02
2026-01-18,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.81,0.095,0.018,7.390000000000001,0.348,0.4401428571428571,10.7,0.3747272727272727,0.4594545454545455,10.7,0.3747272727272727,0.4594545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,12.02
2026-01-19,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.86,0.906,0.266,8.61,0.4247142857142857,0.4092857142857143,12.56,0.419,0.4433333333333333,12.56,0.419,0.4433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,13.165
2026-01-20,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.46,1.0,0.429,9.31,0.5435714285714286,0.4074285714285714,14.02,0.4636923076923077,0.4422307692307692,14.02,0.4636923076923077,0.4422307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,12.34
2026-01-21,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.49,0.543,0.101,8.57,0.5435714285714286,0.3164285714285714,14.51,0.4693571428571428,0.4178571428571428,14.51,0.4693571428571428,0.4178571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,12.64
2026-01-22,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.12,0.413,0.194,7.28,0.5702857142857143,0.2494285714285714,14.15,0.488,0.4100714285714286,14.63,0.4656,0.4029333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.815
2026-01-23,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,1.3,0.931,0.652,7.44,0.6007142857142858,0.2872857142857143,14.39,0.5245,0.4104285714285714,15.93,0.4946875,0.4185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,11.295
